No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI,Gross Margin,Food Cost %,SSS %
780,BEA,BEA Co.,Foodservice Dist.,Protein Distribution,Mexico,21173309.89,24.42,2.40,0.82,3.81,28.29,"29,729",3.88,16.27%,10.24%,0.49,0.66,38.93%,60.97,20.27%,46.01%,
781,BEB,BEB Foods Inc.,Foodservice Dist.,Broadline Distribution,Mexico,25169112.35,15.87,1.35,2.13,1.67,94.34,"63,523",6.11,16.66%,4.97%,0.60,1.28,56.18%,62.56,37.38%,32.59%,
782,BEC,BEC Foods Inc.,Foodservice Dist.,Specialty Produce,Mexico,6665904.17,32.44,1.59,2.97,2.99,49.54,"10,305",-2.88,-1.61%,10.02%,0.34,0.67,38.27%,39.15,38.62%,39.83%,
783,BED,BED Brands,Foodservice Dist.,Protein Distribution,Mexico,19933121.08,22.07,3.15,2.07,3.31,54.77,"258,022",1.82,7.09%,2.40%,0.66,1.30,23.84%,44.47,43.75%,44.81%,
784,BEE,BEE Foods Inc.,Foodservice Dist.,Broadline Distribution,UK,12464904.53,11.05,1.90,1.98,5.63,87.49,"11,938",2.49,8.20%,-11.79%,0.75,0.79,58.57%,35.99,31.45%,38.53%,
785,BEF,BEF Co.,Foodservice Dist.,Specialty Produce,UK,1839666.92,9.59,,3.54,3.04,37.22,"425,039",3.45,-6.25%,22.23%,1.36,0.70,42.18%,61.36,28.17%,42.01%,
786,BEG,BEG Foods Inc.,Foodservice Dist.,Protein Distribution,UK,2995961.14,19.65,,2.12,1.80,22.32,"66,211",-1.78,7.05%,10.66%,0.35,0.54,22.26%,35.67,29.41%,50.21%,
787,BEH,BEH Foods Inc.,Foodservice Dist.,Broadline Distribution,UK,17779462.82,,1.08,1.07,2.45,53.36,"204,464",-3.38,-15.01%,4.35%,0.74,1.58,36.59%,64.15,22.71%,54.05%,
788,BEI,BEI Brands,Foodservice Dist.,Specialty Produce,UK,2975947.92,28.50,0.95,2.14,2.90,36.02,"15,853",1.54,2.33%,17.47%,1.11,1.10,59.75%,41.66,32.30%,53.19%,
789,BEJ,BEJ Co.,Foodservice Dist.,Protein Distribution,Switzerland,1743201.05,19.15,1.18,0.44,3.76,50.53,"231,890",0.95,18.80%,26.14%,0.30,0.87,28.11%,57.14,40.57%,36.85%,
790,BEK,BEK Foods Inc.,Foodservice Dist.,Broadline Distribution,Switzerland,667173.97,25.95,4.87,0.45,3.89,18.79,"1,280,534",0.84,3.36%,7.54%,1.26,0.24,63.80%,51.29,37.81%,40.22%,
791,BEL,BEL Foods Inc.,Foodservice Dist.,Specialty Produce,Switzerland,1579579.78,14.29,1.38,,1.09,32.69,"7,540",3.81,25.06%,17.69%,0.67,0.49,25.51%,53.96,39.16%,51.08%,
792,BEM,BEM Foods Inc.,Foodservice Dist.,Protein Distribution,Netherlands,18053063.38,27.62,,2.33,1.76,54.34,"71,103",3.00,8.41%,9.25%,1.16,1.42,60.92%,51.34,23.81%,29.85%,
793,BEN,BEN Co.,Foodservice Dist.,Broadline Distribution,Netherlands,2617638.99,9.41,1.61,1.23,4.40,27.72,"119,249",6.37,38.19%,16.91%,0.22,0.73,64.64%,64.43,44.67%,33.55%,
794,BEO,BEO Brands,Foodservice Dist.,Specialty Produce,Netherlands,6326640.23,24.92,1.66,0.47,4.59,203.53,"257,297",4.22,10.06%,3.92%,0.41,1.22,52.19%,45.41,30.01%,53.56%,
795,BEP,BEP Foods Inc.,Foodservice Dist.,Protein Distribution,Brazil,3276804.36,25.12,,2.02,2.98,41.36,"1,258,316",2.69,12.74%,17.43%,0.43,1.07,42.42%,41.89,29.83%,36.57%,
796,BEQ,BEQ Co.,Foodservice Dist.,Broadline Distribution,Brazil,32722293.16,35.26,2.07,0.76,0.75,56.83,"305,486",-0.83,-8.22%,17.18%,0.96,1.54,51.94%,24.14,26.62%,49.30%,
797,BER,BER Co.,Foodservice Dist.,Specialty Produce,Brazil,4362269.12,19.83,1.20,0.48,4.07,19.46,"121,502",0.55,5.76%,2.87%,0.34,0.48,20.98%,34.88,25.71%,28.17%,
798,BES,BES Co.,Foodservice Dist.,Protein Distribution,Japan,1311014.17,13.52,3.69,4.16,4.06,13.91,"214,872",9.07,20.94%,-5.29%,0.96,0.59,30.37%,30.95,33.46%,65.30%,
799,BET,BET Foods Inc.,Foodservice Dist.,Broadline Distribution,Japan,4157265.85,10.17,3.68,1.72,,7.94,"50,232",0.78,-3.13%,7.17%,0.50,1.23,13.95%,36.82,30.48%,46.94%,
800,BEU,BEU Foods Inc.,Foodservice Dist.,Specialty Produce,USA,2542508.82,29.14,1.56,1.53,2.78,32.73,"8,216",2.94,0.27%,4.03%,1.04,1.33,77.57%,67.22,40.92%,38.84%,
801,BEV,BEV Brands,Foodservice Dist.,Protein Distribution,USA,21791614.82,14.14,3.55,1.79,5.60,45.56,"91,752",1.96,-12.01%,21.02%,0.56,0.39,26.51%,49.73,37.61%,45.90%,
802,BEW,BEW Foods Inc.,Foodservice Dist.,Broadline Distribution,USA,3920760.11,22.92,,3.06,3.00,35.23,"485,562",2.05,22.23%,14.73%,0.93,1.18,17.38%,48.43,40.42%,50.52%,
803,BEX,BEX Brands,Foodservice Dist.,Specialty Produce,USA,1364657.63,21.23,2.25,0.89,3.68,67.65,"331,829",1.07,4.78%,-6.86%,0.47,0.49,74.39%,57.54,39.11%,44.25%,
804,BEY,BEY Co.,Foodservice Dist.,Protein Distribution,USA,292795.58,17.45,3.09,1.53,2.07,45.66,"101,370",2.23,9.27%,8.38%,0.59,1.13,70.14%,52.16,26.42%,51.93%,
805,BEZ,BEZ Foods Inc.,Foodservice Dist.,Broadline Distribution,USA,2055699.45,23.55,0.98,1.77,1.18,19.31,"66,301",2.19,8.07%,2.97%,0.38,1.17,62.88%,36.43,27.26%,28.89%,
806,BFA,BFA Co.,Foodservice Dist.,Specialty Produce,USA,25284390.36,23.70,1.88,1.71,1.86,234.16,"86,988",-1.28,9.74%,4.42%,0.53,0.48,71.97%,54.15,26.26%,35.28%,
807,BFB,BFB Brands,Foodservice Dist.,Protein Distribution,USA,2243218.01,25.53,1.59,1.52,3.19,20.57,"30,173",6.97,14.22%,11.64%,0.84,0.80,52.86%,55.78,43.25%,31.80%,
808,BFC,BFC Co.,Foodservice Dist.,Broadline Distribution,USA,368573.15,16.52,1.28,0.89,2.76,19.57,"302,245",5.28,0.53%,5.37%,0.58,0.52,35.29%,57.20,37.50%,32.80%,
809,BFD,BFD Co.,Foodservice Dist.,Specialty Produce,USA,4108313.46,12.24,1.95,0.84,4.55,34.92,"113,972",2.30,-2.40%,-3.70%,0.88,0.35,58.46%,61.52,38.62%,46.30%,
810,BFE,BFE Foods Inc.,Foodservice Dist.,Protein Distribution,USA,2408099.68,12.30,0.85,0.92,4.16,47.85,"132,923",9.17,6.82%,14.65%,1.01,0.73,44.27%,68.05,34.47%,45.00%,
811,BFF,BFF Foods Inc.,Foodservice Dist.,Broadline Distribution,USA,27158330.32,17.17,2.67,2.50,2.10,58.10,"267,913",1.68,12.07%,2.23%,0.36,0.44,24.17%,45.86,23.53%,41.37%,
812,BFG,BFG Co.,Foodservice Dist.,Specialty Produce,USA,469851.26,19.29,2.05,1.88,4.94,7.22,"72,203",-3.68,10.69%,20.41%,0.96,1.09,26.11%,55.87,36.31%,47.10%,
813,BFH,BFH Brands,Foodservice Dist.,Protein Distribution,USA,16060685.51,,,2.71,2.06,39.18,"262,258",5.50,-17.73%,12.28%,0.63,0.74,79.95%,67.51,26.23%,33.66%,
814,BFI,BFI Co.,Foodservice Dist.,Broadline Distribution,USA,4338407.29,34.75,2.88,0.55,,80.65,"221,113",-2.12,6.62%,15.02%,1.39,0.63,28.56%,55.68,28.93%,28.14%,
815,BFJ,BFJ Foods Inc.,Foodservice Dist.,Specialty Produce,USA,865255.71,19.23,2.51,2.48,2.48,24.75,"436,298",3.39,31.17%,-1.55%,0.12,1.17,39.13%,46.90,36.64%,63.70%,
816,BFK,BFK Foods Inc.,Foodservice Dist.,Protein Distribution,USA,2346328.07,32.98,2.01,0.77,3.64,47.96,"52,618",0.38,-9.18%,0.82%,1.30,1.01,31.30%,41.65,45.35%,44.84%,
817,BFL,BFL Foods Inc.,Foodservice Dist.,Broadline Distribution,USA,3094182.82,12.35,1.47,5.73,2.13,61.72,"255,381",2.19,3.95%,11.96%,1.05,0.76,90.24%,50.27,37.27%,40.27%,
818,BFM,BFM Co.,Foodservice Dist.,Specialty Produce,USA,5476863.29,30.59,1.97,0.95,1.20,74.69,"13,643",10.21,-6.75%,4.95%,0.38,0.85,55.45%,40.83,28.28%,45.69%,
819,BFN,BFN Brands,Foodservice Dist.,Protein Distribution,USA,556712.13,10.26,1.21,1.03,1.28,18.97,"106,565",-0.55,11.45%,14.36%,0.33,0.60,52.79%,58.07,31.24%,35.55%,
820,BFO,BFO Brands,Foodservice Dist.,Broadline Distribution,USA,6682648.17,18.69,1.28,2.82,1.51,32.35,"303,279",1.42,-3.32%,-1.02%,0.91,0.75,52.92%,45.89,47.75%,24.24%,
821,BFP,BFP Foods Inc.,Ingredients,Flavors & Fragrances,USA,4962399.98,19.64,1.87,1.60,2.01,114.12,"252,085",-0.09,-5.38%,15.79%,0.52,1.19,28.40%,58.81,13.15%,42.54%,
822,BFQ,BFQ Foods Inc.,Ingredients,Sweeteners,USA,661564.83,12.75,2.15,0.93,5.90,52.33,"65,881",-2.19,2.47%,-14.16%,0.26,1.16,61.97%,55.04,21.89%,52.19%,
823,BFR,BFR Co.,Ingredients,Oils & Fats,USA,2138944.88,14.94,1.85,2.91,1.62,41.61,"544,092",2.90,3.48%,10.44%,0.25,0.57,65.83%,41.50,39.85%,34.53%,
824,BFS,BFS Foods Inc.,Ingredients,Cultures & Enzymes,USA,5768635.15,26.92,2.50,0.31,1.44,13.61,"24,581",3.62,-8.84%,3.25%,2.16,0.60,87.84%,61.19,36.51%,33.78%,
825,BFT,BFT Brands,Ingredients,Flavors & Fragrances,USA,2964145.19,48.76,2.12,3.06,,159.53,"31,405",1.74,14.46%,-2.20%,0.42,0.39,54.17%,56.07,24.88%,46.49%,
826,BFU,BFU Brands,Ingredients,Sweeteners,USA,168132.50,37.22,0.85,1.62,2.89,12.64,"16,110",4.51,23.53%,15.20%,3.32,1.49,37.84%,42.84,28.31%,44.48%,
827,BFV,BFV Co.,Ingredients,Oils & Fats,USA,12197775.37,11.16,2.41,1.96,1.77,28.45,"92,385",1.56,0.97%,10.97%,0.89,1.34,41.25%,41.08,22.80%,33.78%,
828,BFW,BFW Brands,Ingredients,Cultures & Enzymes,USA,231936.17,21.76,0.81,1.14,3.73,45.85,"17,320",-2.25,22.39%,-5.72%,0.88,1.02,14.36%,62.38,36.62%,19.97%,
829,BFX,BFX Brands,Ingredients,Flavors & Fragrances,USA,2343004.16,28.62,1.79,0.69,1.21,27.12,"602,437",2.32,16.45%,10.94%,0.29,0.49,49.41%,46.89,24.68%,43.50%,
830,BFY,BFY Foods Inc.,Ingredients,Sweeteners,USA,19299768.85,30.55,1.80,1.45,1.29,40.49,"107,081",2.17,-0.70%,20.18%,1.19,0.62,49.33%,49.20,35.60%,50.72%,
831,BFZ,BFZ Co.,Ingredients,Oils & Fats,USA,2213055.17,14.91,1.28,0.82,1.03,29.11,"30,558",3.88,14.04%,8.86%,1.52,1.21,42.64%,42.83,40.63%,50.28%,
832,BGA,BGA Brands,Ingredients,Cultures & Enzymes,USA,29234354.67,34.78,1.14,1.23,1.15,26.46,"9,676",0.73,10.91%,-7.46%,0.21,1.49,56.93%,51.36,20.76%,27.92%,
833,BGB,BGB Foods Inc.,Ingredients,Flavors & Fragrances,USA,6609227.67,31.29,0.56,2.42,1.47,54.22,"13,755",6.26,11.12%,8.57%,0.59,1.05,56.72%,55.58,18.84%,40.04%,
834,BGC,BGC Co.,Ingredients,Sweeteners,USA,13251704.11,26.12,1.17,0.72,1.38,137.34,"166,745",0.79,13.94%,-10.55%,0.86,0.85,45.22%,51.46,33.56%,24.11%,
835,BGD,BGD Brands,Ingredients,Oils & Fats,USA,4734651.20,26.97,1.15,4.13,1.47,81.78,"11,083",0.14,7.28%,31.66%,0.24,0.61,33.08%,47.18,27.98%,41.56%,
836,BGE,BGE Brands,Ingredients,Cultures & Enzymes,USA,2492200.52,32.12,2.05,1.29,5.76,59.82,"78,098",7.72,8.23%,11.14%,0.38,0.74,80.77%,60.39,29.18%,30.06%,
837,BGF,BGF Foods Inc.,Ingredients,Flavors & Fragrances,USA,1569078.36,26.81,1.01,8.38,2.04,61.97,"44,169",4.45,12.05%,12.65%,0.56,1.24,66.31%,57.66,26.93%,49.64%,
838,BGG,BGG Co.,Ingredients,Sweeteners,USA,8694928.41,26.33,1.42,5.99,3.30,66.03,"146,978",3.80,5.36%,9.00%,0.85,0.45,53.23%,39.37,38.47%,53.17%,
839,BGH,BGH Co.,Ingredients,Oils & Fats,USA,171622.63,,0.73,0.84,3.41,15.19,"37,795",3.82,-5.10%,7.32%,0.74,0.71,34.27%,58.97,26.66%,33.77%,
840,BGI,BGI Foods Inc.,Ingredients,Cultures & Enzymes,USA,3342153.45,15.71,0.98,1.34,2.26,47.56,"43,688",1.99,-4.06%,11.18%,1.08,0.37,16.35%,60.03,29.68%,42.61%,
841,BGJ,BGJ Co.,Ingredients,Flavors & Fragrances,USA,976944.62,7.77,1.57,1.33,2.87,7.18,"495,924",2.26,11.44%,9.89%,0.38,0.94,35.56%,63.69,28.90%,40.96%,
842,BGK,BGK Foods Inc.,Ingredients,Sweeteners,USA,3660650.10,7.78,1.21,1.78,0.70,57.02,"4,444",-2.15,14.39%,8.93%,0.78,0.20,51.47%,37.73,33.41%,43.93%,
843,BGL,BGL Co.,Ingredients,Oils & Fats,USA,1362003.25,9.57,2.10,0.53,,23.10,"466,854",2.66,29.02%,14.77%,0.30,0.96,32.25%,39.30,29.53%,57.13%,
844,BGM,BGM Co.,Ingredients,Cultures & Enzymes,USA,132363242.65,,1.02,1.13,1.42,112.13,"28,428",-1.49,-1.08%,6.25%,0.81,0.64,59.04%,74.45,44.29%,50.32%,
845,BGN,BGN Foods Inc.,Ingredients,Flavors & Fragrances,USA,3413072.07,9.72,1.66,2.04,4.46,29.52,"17,890",3.63,11.25%,-0.26%,0.99,0.39,69.01%,40.57,34.41%,34.81%,
846,BGO,BGO Foods Inc.,Ingredients,Sweeteners,USA,32026843.90,23.99,0.96,1.68,5.87,52.72,"40,926",2.05,-2.57%,12.93%,0.43,0.34,34.59%,33.78,42.46%,43.69%,
847,BGP,BGP Brands,Ingredients,Oils & Fats,USA,3878753.74,21.34,1.32,4.18,6.81,40.05,"65,527",-2.46,-7.91%,15.01%,0.21,0.86,59.56%,54.76,20.67%,32.25%,
848,BGQ,BGQ Foods Inc.,Ingredients,Cultures & Enzymes,USA,3130610.40,9.98,1.14,1.70,2.81,82.92,"247,729",9.52,15.13%,6.77%,0.47,0.76,33.42%,67.76,46.19%,37.35%,
849,BGR,BGR Co.,Ingredients,Flavors & Fragrances,USA,2235860.56,20.68,1.18,2.15,1.95,19.95,"108,825",3.46,23.66%,5.99%,0.55,1.44,55.84%,57.37,47.39%,33.54%,
850,BGS,BGS Foods Inc.,Ingredients,Sweeteners,USA,17930660.39,,,1.83,1.28,39.41,"17,504",5.51,-0.94%,6.41%,0.43,1.01,58.64%,82.49,37.73%,42.51%,
851,BGT,BGT Foods Inc.,Ingredients,Oils & Fats,USA,1699705.59,17.62,1.88,1.26,1.48,19.46,"27,501",4.16,6.14%,10.74%,1.41,0.91,7.23%,76.41,33.26%,54.48%,
852,BGU,BGU Co.,Ingredients,Cultures & Enzymes,USA,2318542.19,,2.53,1.34,3.30,49.23,"83,200",4.81,2.52%,-3.92%,0.28,0.95,31.23%,35.47,32.09%,48.68%,
853,BGV,BGV Foods Inc.,Ingredients,Flavors & Fragrances,USA,152086689.12,22.76,2.37,0.84,1.92,120.49,"27,869",2.75,-26.01%,-3.02%,0.42,0.99,52.46%,56.55,11.90%,39.56%,
854,BGW,BGW Brands,Ingredients,Sweeteners,USA,25617749.86,,2.88,1.50,2.64,44.71,"56,679",2.36,3.95%,-7.98%,0.14,0.48,58.69%,71.17,15.12%,26.49%,
855,BGX,BGX Foods Inc.,Ingredients,Oils & Fats,USA,973323.36,23.21,1.34,1.42,1.72,26.55,"15,471",2.82,9.02%,-2.18%,0.39,1.18,82.75%,47.20,29.94%,24.87%,
856,BGY,BGY Brands,Ingredients,Cultures & Enzymes,USA,1093676.60,21.87,2.62,2.01,2.99,6.82,"23,577",-5.78,13.48%,-7.55%,0.51,0.20,37.97%,41.42,27.29%,29.43%,
857,BGZ,BGZ Co.,Ingredients,Flavors & Fragrances,USA,12210264.75,11.32,0.74,0.96,4.96,30.52,"24,433",2.20,6.45%,16.04%,0.91,1.43,14.50%,81.22,32.80%,62.34%,
858,BHA,BHA Co.,Ingredients,Sweeteners,USA,55598474.63,27.35,6.30,0.49,,27.35,"74,233",-1.03,3.04%,-2.84%,0.26,0.91,74.80%,47.60,37.18%,40.27%,
859,BHB,BHB Co.,Ingredients,Oils & Fats,USA,17411913.32,56.13,4.41,1.75,1.74,77.56,"114,664",-2.46,4.21%,14.78%,0.77,1.02,13.54%,48.96,30.35%,33.81%,
860,BHC,BHC Foods Inc.,Ingredients,Cultures & Enzymes,USA,5710926.40,16.23,2.36,1.12,2.61,41.47,"20,816",0.37,-0.81%,1.44%,1.15,0.94,24.05%,56.69,35.21%,43.24%,
861,BHD,BHD Foods Inc.,Ingredients,Flavors & Fragrances,USA,1919469.16,,1.49,1.02,5.69,36.16,"97,855",3.45,0.14%,10.31%,0.36,0.67,9.64%,33.30,32.30%,41.09%,
862,BHE,BHE Foods Inc.,Ingredients,Sweeteners,USA,48255696.46,27.18,1.81,2.12,2.04,92.18,"12,129",5.27,1.81%,12.71%,0.89,1.27,63.90%,45.14,36.73%,40.79%,
863,BHF,BHF Foods Inc.,Ingredients,Oils & Fats,USA,10757980.68,36.22,,1.96,1.35,69.26,"57,345",1.21,4.17%,6.30%,0.35,0.80,58.22%,35.63,33.55%,39.29%,
864,BHG,BHG Foods Inc.,Ingredients,Cultures & Enzymes,USA,4270897.99,31.29,2.91,0.95,1.64,21.64,"19,228",1.50,5.55%,6.05%,0.52,1.03,79.68%,51.36,27.04%,33.16%,
865,BHH,BHH Brands,Ingredients,Flavors & Fragrances,USA,10280445.36,27.52,1.89,0.82,3.74,27.22,"616,611",5.13,-3.03%,-4.78%,0.41,0.38,42.80%,60.73,25.44%,43.25%,
866,BHI,BHI Foods Inc.,Ingredients,Sweeteners,USA,1559817.21,11.49,3.25,3.63,0.85,30.76,"26,872",0.72,17.31%,7.72%,0.48,0.95,35.43%,44.34,25.93%,54.40%,
867,BHJ,BHJ Foods Inc.,Ingredients,Oils & Fats,USA,6396888.09,44.48,1.55,3.08,,22.62,"329,381",-1.08,-2.66%,-1.17%,0.65,1.19,23.67%,22.04,26.75%,29.43%,
868,BHK,BHK Foods Inc.,Ingredients,Cultures & Enzymes,USA,15276223.41,21.46,1.06,2.65,2.54,19.20,"6,990",2.29,22.51%,14.94%,0.73,1.89,38.94%,29.75,37.76%,47.71%,
869,BHL,BHL Brands,Ingredients,Flavors & Fragrances,USA,2674105.17,30.11,0.73,0.78,3.71,15.70,"3,155",7.17,21.78%,21.94%,0.25,0.92,29.99%,65.35,39.74%,30.52%,
870,BHM,BHM Foods Inc.,Ingredients,Sweeteners,USA,72278288.80,11.03,2.15,2.12,2.91,50.93,"52,154",3.88,16.47%,15.15%,0.47,0.34,44.80%,54.18,30.25%,39.50%,
871,BHN,BHN Foods Inc.,Ingredients,Oils & Fats,USA,8651762.09,21.60,,4.42,0.84,33.32,"32,094",5.26,14.45%,9.29%,0.59,0.51,66.02%,69.17,34.95%,50.75%,
872,BHO,BHO Co.,Ingredients,Cultures & Enzymes,Canada,18848616.91,26.08,1.27,0.59,,37.86,"333,354",8.21,15.31%,-1.01%,0.22,0.72,32.83%,53.37,29.02%,52.37%,
873,BHP,BHP Brands,Ingredients,Flavors & Fragrances,Canada,1001657.62,11.16,2.70,3.84,4.69,28.68,"28,865",-0.99,-12.04%,12.41%,0.95,1.58,69.23%,36.56,35.55%,44.89%,
874,BHQ,BHQ Brands,Ingredients,Sweeteners,Canada,2400792.97,7.14,0.86,2.27,,20.99,"39,925",5.38,12.62%,22.75%,0.77,1.15,32.50%,51.62,24.41%,45.61%,
875,BHR,BHR Foods Inc.,Ingredients,Oils & Fats,Canada,5652393.63,6.24,1.22,0.75,2.28,62.11,"194,205",8.02,0.83%,18.83%,0.70,1.43,8.40%,58.98,30.53%,23.16%,
876,BHS,BHS Co.,Ingredients,Cultures & Enzymes,Canada,2539079.59,16.20,,0.66,1.85,20.21,"190,105",3.00,9.98%,-6.55%,0.53,0.69,56.61%,51.37,37.39%,48.10%,
877,BHT,BHT Co.,Ingredients,Flavors & Fragrances,Canada,59725932.48,18.76,0.89,,4.70,130.62,"25,897",3.64,-8.50%,13.32%,0.24,0.83,40.99%,73.89,24.30%,59.77%,
878,BHU,BHU Co.,Ingredients,Sweeteners,Canada,4173428.79,15.38,,1.00,8.68,51.02,"126,472",1.46,11.49%,7.95%,1.14,1.09,27.07%,69.24,39.81%,53.90%,
879,BHV,BHV Brands,Ingredients,Oils & Fats,Mexico,1944553.03,16.13,0.84,4.42,3.30,19.00,"57,285",-2.43,0.58%,-1.32%,1.59,1.19,43.26%,37.32,38.73%,33.70%,
880,BHW,BHW Foods Inc.,Ingredients,Cultures & Enzymes,Mexico,515988.77,,1.98,,4.11,12.17,"110,623",3.07,5.42%,6.69%,0.40,0.72,78.54%,49.04,27.06%,32.33%,
881,BHX,BHX Co.,Ingredients,Flavors & Fragrances,Mexico,465263.27,,2.15,1.30,2.27,30.60,"135,111",3.11,20.67%,32.44%,1.71,0.20,61.93%,44.89,39.99%,44.53%,
882,BHY,BHY Foods Inc.,Ingredients,Sweeteners,Mexico,402057.13,33.22,1.59,4.47,3.84,21.45,"209,318",0.61,14.32%,12.52%,1.14,1.14,69.77%,34.40,36.28%,39.56%,
883,BHZ,BHZ Foods Inc.,Ingredients,Oils & Fats,Mexico,913329.60,36.42,3.93,0.71,0.60,39.86,"34,737",0.24,-8.60%,26.57%,0.78,0.61,34.35%,37.20,41.98%,48.71%,
884,BIA,BIA Brands,Ingredients,Cultures & Enzymes,UK,2930192.04,30.49,,3.44,1.74,37.39,"35,108",0.59,-13.13%,-3.82%,0.22,0.69,35.76%,57.50,24.76%,45.44%,
885,BIB,BIB Brands,Ingredients,Flavors & Fragrances,UK,3008880.00,19.79,0.80,0.61,6.30,68.21,"299,022",3.56,-10.06%,9.85%,1.35,1.27,47.58%,40.69,41.46%,40.89%,
886,BIC,BIC Brands,Ingredients,Sweeteners,UK,8485317.85,12.80,3.59,,0.60,32.40,"89,815",1.82,8.94%,7.73%,0.26,0.33,27.28%,26.68,27.12%,29.81%,
887,BID,BID Foods Inc.,Ingredients,Oils & Fats,UK,499200.56,,1.27,1.42,2.84,46.94,"170,601",4.74,-9.17%,-0.65%,0.49,0.20,60.43%,58.00,35.40%,37.84%,
888,BIE,BIE Co.,Ingredients,Cultures & Enzymes,UK,18291905.40,20.45,0.64,,0.95,63.84,"22,290",-0.75,-1.87%,11.30%,0.37,0.20,25.01%,23.94,39.00%,43.57%,
889,BIF,BIF Co.,Ingredients,Flavors & Fragrances,Switzerland,25932323.44,45.25,4.05,1.33,4.88,70.35,"30,703",1.06,-4.75%,6.62%,0.83,1.31,49.73%,58.09,20.53%,43.01%,
890,BIG,BIG Foods Inc.,Ingredients,Sweeteners,Switzerland,5140332.89,13.29,3.71,2.66,7.11,34.27,"114,271",5.54,-2.97%,-8.48%,0.56,0.98,32.95%,39.48,23.28%,49.76%,
891,BIH,BIH Co.,Ingredients,Oils & Fats,Switzerland,4932334.32,36.67,1.03,1.26,3.06,288.53,"62,907",4.65,3.45%,1.18%,1.62,0.44,57.21%,33.66,32.88%,32.03%,
892,BII,BII Foods Inc.,Ingredients,Cultures & Enzymes,Netherlands,39711232.99,27.21,2.08,,1.38,196.35,"14,802",0.70,8.22%,5.86%,0.75,0.88,33.17%,46.94,29.84%,34.49%,
893,BIJ,BIJ Brands,Ingredients,Flavors & Fragrances,Netherlands,2092823.76,35.92,3.49,1.07,0.61,19.24,"92,828",5.14,6.63%,-4.00%,0.37,0.94,16.54%,33.98,23.12%,46.80%,
894,BIK,BIK Brands,Ingredients,Sweeteners,Netherlands,4874411.84,,1.49,1.26,1.24,84.82,"217,661",1.80,-9.09%,-5.59%,0.37,0.93,39.53%,42.98,26.07%,26.91%,
895,BIL,BIL Foods Inc.,Ingredients,Oils & Fats,Brazil,1780284.62,15.33,1.94,2.03,1.97,40.15,"4,309",0.37,-3.02%,-1.28%,1.29,0.49,36.56%,49.46,14.30%,44.06%,
896,BIM,BIM Foods Inc.,Ingredients,Cultures & Enzymes,Brazil,15320949.49,12.62,6.27,2.08,1.15,78.25,"42,107",5.56,-6.81%,-9.47%,1.02,0.97,36.29%,39.75,19.92%,30.20%,
897,BIN,BIN Foods Inc.,Ingredients,Flavors & Fragrances,Brazil,222638.72,11.78,2.67,2.09,1.20,24.01,"79,416",5.27,8.62%,4.92%,0.39,0.20,44.03%,43.76,33.60%,31.95%,
898,BIO,BIO Co.,Ingredients,Sweeteners,Japan,965159.36,,1.02,4.00,0.85,15.90,"29,739",3.67,16.16%,14.24%,2.00,0.62,71.99%,28.18,44.51%,37.59%,
899,BIP,BIP Co.,Ingredients,Oils & Fats,Japan,276176.75,20.09,0.74,2.57,2.22,23.31,"620,714",1.06,-16.79%,10.32%,0.93,1.82,6.71%,53.32,27.51%,36.46%,
900,BIQ,BIQ Foods Inc.,Ingredients,Cultures & Enzymes,USA,1941427.70,22.66,1.46,0.41,1.23,16.68,"132,495",-2.04,-12.32%,-0.13%,3.16,0.90,67.35%,56.44,32.78%,25.95%,
901,BIR,BIR Co.,Ingredients,Flavors & Fragrances,USA,1414706.59,28.51,1.25,2.05,3.81,20.22,"52,310",8.95,5.64%,0.95%,1.00,0.88,60.65%,47.77,30.38%,41.74%,
902,BIS,BIS Foods Inc.,Ingredients,Sweeteners,USA,1385520.08,7.74,1.33,0.90,3.17,30.56,"295,205",5.65,11.68%,21.90%,0.34,0.68,54.15%,54.75,39.43%,36.73%,
903,BIT,BIT Foods Inc.,Ingredients,Oils & Fats,USA,943491.94,12.87,2.21,3.24,3.77,58.19,"18,038",3.35,1.37%,5.78%,0.66,1.25,10.16%,57.24,36.70%,47.72%,
904,BIU,BIU Brands,Ingredients,Cultures & Enzymes,USA,116850789.96,5.01,2.49,2.51,6.45,83.13,"5,557",-0.79,2.22%,-10.10%,0.34,1.03,41.10%,59.20,29.06%,40.45%,
905,BIV,BIV Foods Inc.,Ingredients,Flavors & Fragrances,USA,1565134.02,16.12,0.83,4.62,2.56,5.76,"12,388",1.86,0.65%,5.23%,0.41,0.50,78.07%,45.82,44.80%,37.11%,
906,BIW,BIW Co.,Confectionery,Chocolate,USA,1156306.98,17.65,1.27,0.78,2.86,21.08,"89,292",-3.83,1.76%,7.88%,0.64,0.20,58.34%,62.77,41.47%,34.30%,
907,BIX,BIX Foods Inc.,Confectionery,Candy & Gum,USA,9957874.84,22.43,1.22,2.97,2.04,60.38,"15,558",-0.01,-27.10%,15.08%,0.67,1.25,11.42%,55.88,31.99%,43.36%,
908,BIY,BIY Foods Inc.,Confectionery,Luxury Chocolate,USA,1183093.74,14.86,2.21,0.78,2.26,134.68,"27,545",4.17,-8.77%,-1.90%,0.81,0.87,61.13%,36.68,32.69%,33.01%,
